SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
540786,SHARIKA     ,M ,Q,26.70,26.70,26.70,26.70,26.70,25.60,1,3000,80100.00,
540787,ICICIB22    ,B ,Q,33.20,33.33,33.10,33.33,33.33,33.20,115,13878,461042.00,
540789,DNAMEDIA    ,T ,Q,0.49,0.50,0.49,0.50,0.50,0.51,2,262,128.00,
540797,SHALBY      ,B ,Q,96.80,98.15,94.00,94.30,94.50,95.55,214,3482,334552.00,
540798,FSC         ,B ,Q,534.95,534.95,485.00,499.75,499.75,501.40,1371,19139,9698521.00,
540799,DACEFRG     ,B ,Q,9.31,9.31,9.31,9.31,9.31,9.62,1,150,1396.00,
540809,MRCEXIM     ,M ,Q,6.50,6.77,6.50,6.77,6.77,6.62,2,16000,106160.00,
540812,KMSL        ,MT,Q,8.40,8.40,8.40,8.40,8.40,8.84,1,4000,33600.00,
540821,SADHNA      ,X ,Q,13.33,13.35,13.30,13.35,13.35,13.00,5,600,7996.00,
540824,ASTRON      ,B ,Q,38.05,38.90,38.05,38.15,38.05,39.00,50,7610,291422.00,
540826,NCBFIVCG    ,B ,Q,6.38,6.38,6.38,6.38,6.38,6.39,1,5000,31900.00,
540861,IPRU3018    ,B ,Q,8.40,8.52,8.40,8.52,8.52,8.90,2,1100,9360.00,
540879,APOLLO      ,B ,Q,68.70,68.70,66.15,66.75,66.75,66.95,56,2048,137338.00,
540900,NEWGEN      ,B ,Q,191.20,193.45,190.50,192.75,193.45,194.10,79,121,23178.00,
540901,PRAXIS      ,B ,Q,60.05,62.90,59.05,62.90,62.90,60.75,4,13,792.00,
540902,AMBER       ,B ,Q,1030.05,1031.20,1013.90,1018.25,1020.00,1021.20,195,884,903290.00,
540935,GALAXYSURF  ,B ,Q,1363.05,1414.00,1355.00,1387.65,1413.00,1374.20,289,1389,1914611.00,
540937,MEDICO      ,M ,Q,79.00,79.00,79.00,79.00,79.00,87.75,1,1200,94800.00,
540954,IWP         ,X ,Q,39.85,40.00,39.00,39.85,39.85,40.10,77,27617,1100512.00,
